urlDrugName;rating;effectiveness;sideEffects;condition
chantix;5;3;2;stop smoking aid
ziana;9;3;3;acne
vivelle-dot;5;3;1;surgical menopause
effexor-xr;7;3;3;anxiety/ ocpd /depression
ultram-er;1;0;4;pain relief  from an infected cat bite wound
lotrel;7;3;1;high blood pressure
viagra;4;0;2;erectile disfunction
seasonale;9;4;3;birth control
wellbutrin-sr;5;2;2;depression
lipitor;1;0;1;cholesterol slightly elevated
allegra;8;3;4;hay fever, allergies
ambien-cr;7;4;2;insomnia
accutane;8;4;1;acne
nasonex;10;4;4;congestion
fortaz;8;4;2;uti
singulair;1;0;1;asthma
xyrem;9;4;2;insomnia
provigil;7;2;3;fatigue not being able to get up in am
xanax;10;4;4;tia's - anxiety
lexapro;9;4;3;major depression/anxiety
vicodin;7;3;3;periodontal surgery
zoloft;6;2;4;depression
differin;9;4;3;acne
zyban;9;4;1;smoking
anafranil;4;4;2;ocd
nuvaring;10;4;3;birth control
motrin;8;3;3;menstrual cramping
effexor;8;3;2;generalized anxiety disorder
serzone;8;4;4;generalized anxiety disorder
naprosyn;8;3;4;ankylosing spondylitis
flomax;8;3;2;kidney pain, difficult urination
percocet;7;3;2;shoulder pain
propecia;8;2;4;hair loss
protonix;9;4;4;acid reflux
mirapex;10;4;3;restless leg syndrome
dexamethasone;3;1;4;bronchial infection
renova;7;2;2;acne
toradol;1;0;0;for  back pain
caduet;3;3;1;cholesterol/high blood pressure
diazepam;10;4;4;stress
celebrex;8;3;4;arthritis
accutane;10;4;3;severe acne
zoloft;9;4;3;depression
prevacid;7;3;1;acid reflux
actiq;1;4;1;chronic pain
doxycycline;4;2;1;epididymitus
meridia;10;4;3;weight loss
mobic;1;0;4;back pain
provigil;10;4;4;excessive fatigue
ortho-tri-cyclen;10;4;3;birth control method
tegretol;5;4;2;epilepsy
zestoretic;10;4;4;high blood pressure
malarone;9;4;2;malaria prevention
synthroid;10;4;4;low under active thyroid
zofran;9;4;3;nausea/vomiting
elavil;8;4;2;fibromyalgia
tazorac;8;4;2;hyperpigmentation, photoaging, mild hormonal acne
topamax;10;1;1;tourette syndrome
lunesta;1;0;1;insomina
oracea;4;3;1;rosacea
spiriva;9;4;4;asthma
prozac;3;1;1;depression
enbrel;9;4;3;ankylosing spondylitis
atarax;1;0;3;anxiety
pilocarpine;3;3;1;high intraocular pressure (glaucoma)
allegra;10;4;4;severe allergies
retin-a;6;3;2;acne
phenergan;9;4;2;nausea
enalapril;6;2;4;high blood pressure
lamictal;10;4;4;bipolar disorder
glucophage;7;2;2;diabetes
evista;9;3;3;slight loss of calcium in hip area
paxil;6;3;1;depression
lopressor;8;4;3;high blood pressure
claritin;9;3;4;eczema
vivelle-dot;10;4;4;menopausal symptoms
levoxyl;8;4;3;hypothyroidism
renova;10;4;3;cystic acne on chin and jaw
flexeril;5;2;2;muscle spasms
cymbalta;8;3;3;chronic tension headaches/ mild depression
allegra;6;3;3;allergies
effexor-xr;5;2;3;depression
zyban;4;2;1;stop smoking
seroquel-xr;9;3;3;bipolar 2
topamax;3;3;2;migraines
tazorac;9;4;2;acne/anti-agin
biaxin;10;4;3;severe sinus infection
abilify;2;3;0;depression not resolved with antidepressant drugs
nasonex;8;3;4;sinusitis
augmentin;7;2;4;sinus infection
crestor;1;0;1;high cholesterol
finacea;8;3;4;acne
lamictal;10;4;4;seizure disorder
doxycycline;10;4;3;pneumonia
flexeril;8;3;3;inflamed neck muscles
alprazolam;10;4;3;panic disorder, agoraphobia
lexapro;1;2;1;depression
celexa;3;3;2;depression and anxiety
saizen;8;3;4;adrenal burnout, chronic fatigue & premature agin
clonazepam;9;3;4;hyperactive nerves and chronic small seizures
propecia;10;3;3;hair loss
vivelle;6;2;1;total hist
zoloft;8;3;3;depression
lexapro;7;3;2;depression/anxiety
retin-a;8;3;2;melasma, unevean skin tone, ocasionally pimples
lexapro;7;2;3;depression
keflex;4;3;2;pre-surgery
biaxin;8;4;2;major sinus infection
tequin;1;0;4;uti
zomig;10;4;3;migraine
paxil;1;2;1;depression
vagifem;8;3;3;postmenopausal vaginal atrophy
citalopram;8;4;2;depression
benzaclin;8;4;3;acne
ortho-tri-cyclen;5;3;1;regulate periods
levoxyl;8;3;3;hypothyroidism
citalopram;10;4;3;depression
renova;2;1;1;aging
prilosec;6;4;2;heartburn
levitra;8;2;4;erectile dysfunction
neurontin;4;2;2;perepheral neuropathy
lyrica;1;0;0;fibromyalgia
elavil;8;4;2;insomnia - early awakening
aloprim;8;4;2;gout
citalopram;1;0;2;depression
metrogel;4;2;2;rosacea
wellbutrin-xl;7;2;3;depression
zyprexa;3;3;1;agitation management r/t lewy body syndrome  demen
methotrexate;7;3;2;rhematory arthritis
chantix;9;4;3;smoking cessation
prempro;10;4;3;menopause
provigil;4;2;2;anxiety and to avoid feeling misrable
wellbutrin-xl;9;3;3;depression
mobic;6;0;3;arthritis/knee pain
lamisil;10;4;4;fungal growth on feet
abilify;6;3;4;depression
ultracet;5;3;2;herniated disk in my lower back
valtrex;7;2;3;cold sores
wellbutrin-sr;10;4;4;depression
retin-a;3;0;1;acne
neurontin;6;2;2;nerve damage
lorazepam;9;4;2;panic attacks
vivelle-dot;9;4;4;hysterectomy
lexapro;4;2;2;depression, lack of motivation
wellbutrin;9;3;3;anxiety/ mild depression
relafen;5;1;2;sciatica
valium;6;3;3;anxiety
yasmin;10;4;4;birth control
klonopin;1;0;2;tia type seizures, stress
tri-luma;2;1;3;dark skin spots on face
provigil;7;3;4;fatigue
mirapex;10;4;4;restless legs syndrome
vyvanse;10;4;3;add
provera;9;3;3;irregular menses
adipex-p;9;3;3;weightloss
provigil;1;0;0;shift work insomnia
zoloft;9;3;4;depression
seroquel;8;3;3;bipolar
aldara;6;2;2;scar revision surgery
xenical;6;1;3;weight loss
baclofen;8;3;3;insomnia
spironolactone;5;2;0;acne
wellbutrin;7;4;2;depression
crestor;2;3;1;high cholesterol and triglycerides (21.1!)
clindamycin-topical;9;3;4;acne
chantix;10;4;3;smoking cessation
depo-provera;1;4;0;contraception
flexeril;7;3;1;muscle spasms
chantix;2;3;0;smoking
metronidazole;10;4;0;tooth abscess
dispermox;3;3;2;tonsillitis/strep throat
ambien;7;4;4;restless sleep
zoloft;4;2;2;anxiety disorder
depo-provera;9;4;3;hormonal imbalances and pregnancy prevention
doxycycline;6;2;3;deep gum pockets
solodyn;1;0;1;acne
suboxone;10;4;3;opioid addiction
effexor-xr;2;0;1;clinical depression
zmax;10;4;4;lingering infection - ear, sinus, throat
renova;10;4;4;acne
metformin;9;3;3;metabolic syndrome x
prinivil;4;1;2;diabetes
neurontin;1;0;1;neuropathy back pain
valium;9;3;4;anxiety
vyvanse;7;4;2;add
paxil-cr;9;4;3;obsessive compulsive disorder
ativan;2;2;1;sleep problem
effexor-xr;9;3;3;depression
prempro;9;3;4;hot flashes
darvocet-n;8;3;2;pain after surgery
ranitidine;5;1;4;rash
prevacid;8;3;3;pre-barrett (errosion of the esophagus)
amoxil;10;2;3;infection from grazing an ankle on coral
septra;8;3;3;mrsa skin infection
tamiflu;10;4;3;swine flu
risperdal;1;0;1;psychosis
soltamox;5;4;2;breast cancer
celebrex;10;4;3;arthritis pain
lyrica;8;4;1;fibromylgia
seroquel;8;3;3;insomnia
zyprexa;3;1;2;schizophrenia
yasmin;7;4;2;contraception
lexapro;8;3;3;depression/anxiety
celebrex;1;3;0;arthritis
levaquin;1;4;0;acute sinusitis/bronchitis
xyzal;4;1;1;allergies
cleocin;8;3;2;acne
claripel-cream;8;3;3;pigmentation
effexor;7;2;2;depression
lyrica;8;3;3;fibromyalgia
cymbalta;9;4;4;sever depression
imitrex;10;4;3;migraine
voltaren;10;4;4;osteo arthritis
tetracycline;10;4;4;razor bumps
valtrex;10;4;4;genital herpes
zovirax;8;3;4;fever blisters
cipro;10;4;4;urinary tract infection
protonix;10;4;4;acid reflux
retin-a;9;3;3;acne
relpax;10;4;4;migraine headaches
follistim;10;4;3;infertility
effexor;7;3;2;depression
lortab;9;4;3;pain
climara;8;4;4;hot flash sleep problems
requip;10;4;3;restless leg syndrome
accutane;4;3;4;acne
percocet;5;4;1;chronic back pain
celexa;8;4;2;depression, irritability
restasis;10;4;4;dry eyes
levoxyl;9;4;4;low thyroid
seasonique;6;4;1;birth control
oxycodone;5;3;2;post surgery
remeron;2;0;1;depression
differin;9;3;3;acne
effexor;2;0;1;severe depression
macrobid;1;3;0;uti
buprenorphine;10;4;4;major depression
fiorinal;5;2;4;tension headaches
doxycycline;4;1;3;acne
propecia;9;3;3;hair loss
trazodone;10;3;3;depression/difficulty sleeping
zomig;9;4;3;persistant migraines
climara;4;1;1;menopause, memory loss, night sweats, low libido
ortho-tri-cyclen;9;4;3;pregnancy prevention
synthroid;8;2;4;hypothyroidism
elavil;7;3;2;depression/insomnia
xalatan;8;3;3;glaucoma
motrin;7;3;3;prostatitis (chronically)
citalopram;4;2;2;depression
prozac;7;3;2;depression
renova;7;2;1;acne
lexapro;8;3;2;depression
biaxin;10;4;3;asthmatic bronchitis
cytomel;10;4;4;hypothyroid
accutane;10;4;3;acne
percocet;6;3;3;back pain
oxazepam;10;4;3;anxiety due to relationship stress
prinivil;1;2;0;hypertension
atenolol;10;4;3;hypertension
premarin;9;4;4;aging
norpramin;6;2;3;migraine
cymbalta;7;3;3;depression/anxiety
protonix;7;3;3;gi irritation
topicort;6;3;4;itchy and irritated skin
effexor-xr;10;4;3;dysthymia
lumigan;9;3;3;hair growth
ambien;7;2;3;insomnia
allegra;8;3;3;sinusitis
fluconazole;9;3;4;yeast infection
metformin;8;4;3;infertility
zithromax;10;4;3;pneumonia
grifulvin-v;10;4;4;fungus
lumigan;8;4;3;longer eyelashes
imitrex;10;4;4;migraine
vicodin;7;3;1;i got my toothpulled
proscar;1;2;1;hair loss
tri-luma;8;3;3;acne, melasma
triphasil;10;4;4;contraception
cipro;1;0;0;possible uti
celexa;8;3;3;depression
risperdal;3;1;1;bi-polar mania with anger issues
clonazepam;10;3;4;anxiety insomnia
zoloft;7;3;3;depresson/anxiety
motrin;9;3;4;severe headache
vyvanse;7;3;2;focus
ambien;9;4;3;insomnia
provigil;9;4;4;fatigue / malaise due to infections
voltaren;10;4;4;tennis elbow
prinivil;9;4;3;seizure, hbp, cholesterol
metrogel;6;2;4;rosecea
maxalt;9;4;2;migraines
naproxen;10;4;4;arthritis
antivert;10;4;3;dizzyness,, vertigo, nausea,
tylenol;10;4;4;headache
xanax;9;4;3;anxiety
solodyn;7;2;3;rosacea
flonase;8;3;4;nasal allergy
wellbutrin;6;3;2;depression
hyzaar;8;4;2;hypertension
zithromax;8;4;3;sinusitis
propecia;8;3;3;baldness
prozac;8;3;3;depression
allegra;8;3;2;hives
fexofenadine;2;0;3;allergic rhinitis
lunesta;10;4;4;ptsd/insomnia
ritalin-la;8;3;3;adhd
tambocor;8;4;4;tachycardia
clomid;7;3;4;fertility
lipitor;10;4;4;high cholesteral
prednisone;5;3;1;severe hives angiodema
ventolin-hfa;1;0;3;asthma
biaxin;5;3;1;sinus infection
flonase;7;2;3;congestion
ambien;7;4;1;insomnia
propecia;9;3;4;hairloss
armour-thyroid;10;4;4;mild hypothyroidism
remeron;3;0;0;depression
valtrex;10;4;4;recurring cold sores
valium;9;4;4;muscle pain/spasms - legs
cymbalta;7;2;2;dystimia
prevacid;9;3;4;acid reflux
sumatriptan;9;4;3;migraines
percocet;6;2;3;buldging/ruptured disc
pentasa;7;3;3;pentasa
cytomel;10;4;4;hypothyroidism
cipro;7;3;2;epidimytis
clarithromycin;1;1;1;strep throat
citalopram;10;4;4;anxiety disorder
prozac;6;3;2;depression
prozac;1;0;0;pms
valtrex;7;2;4;herpes
klonopin;4;3;1;anxiety
citalopram;7;3;3;depression
zoloft;9;4;3;depression
chantix;10;4;4;smoking
zyrtec;10;4;3;for allergic condition and there after begning of
elidel;7;2;4;skin rash
climara;10;4;3;menopausal
lyrica;8;2;2;fibromyalgia
seroquel;8;4;2;bipolar ii
prevacid;10;4;4;excess stomach acid.
proscar;9;4;4;bph
seroquel;9;4;2;bipolar disorder / insomnia
danazol;7;4;1;ovarian cyst
celexa;8;4;2;depression/panic disorder
ditropan;8;4;3;incontinence
mobic;3;0;4;neck and back pain/  whiplash
tramadol;8;3;3;arthritis
permapen;1;0;4;viral bronchitis
trimethobenzamide;9;3;4;vertigo
cymbalta;8;3;3;anxiety and depression
valtrex;8;3;4;cold sores
synthroid;3;1;4;hypothyroidism after thyroidectomy
tirosint;1;0;2;hypothyroidism
nystatin;8;3;2;yeast diaper rash
prednisone;10;4;4;hives
zegerid;5;2;3;gerd
paxil;10;4;3;depression
solodyn;7;4;1;acne
imitrex;2;2;1;migraines
xanax;8;3;3;anxiety/depression
allegra;7;2;3;allergies
wellbutrin-sr;8;3;3;adhd
flonase;10;4;4;nasal allergies
remicade;10;4;3;crohn's with fistula in ano
lyrica;1;0;1;neuropathic pain aand fibromyalgia
phendimetrazine;10;4;1;weight loss
retin-a-micro;10;3;3;acne
azopt;10;4;4;glaucoma
armour-thyroid;10;4;4;hypothryroid
desyrel;9;3;3;poor sleep quality
ambien;9;4;4;insomnia
niaspan;10;4;3;hyperlipidemia
ditropan;4;1;1;hyperhidrosis
nasonex;1;3;0;swollen passages from allergies
adipex-p;6;2;2;weight loss
lyrica;1;1;1;fibromyalgia
zoloft;1;0;0;depression
propecia;8;3;3;hair loss
azelex;2;0;1;acne
selegiline;10;4;4;increase dopmaine levels
zantac;5;1;4;ulcer
retin-a-micro;9;3;4;acne
seasonique;2;3;1;birth control
norvasc;9;3;4;high blood pressure
wellbutrin;10;4;3;"depression; intrusive suicidal impulses"
wellbutrin;10;4;4;depression
remeron;10;4;4;insomnia
avita;9;3;3;acne
accutane;7;2;2;acne
lipitor;10;4;4;incontinence
differin;10;4;3;acne
sulindac;4;1;2;baker's cysts behind both knees
cleocin;1;1;1;vaginal bacteria
enbrel;10;4;4;ankylosing spondylitis
lyrica;6;3;1;fibromylgia
ativan;9;4;4;anxiety
valtrex;7;4;2;herpes
adderall;8;4;2;depression, ptsd fatigue
aricept;1;0;1;short term memory loss
differin;2;0;4;acne
renova;4;1;2;acne, wrinkles
adipex-p;10;4;3;chronic fatigue syndrome
retin-a;7;2;3;adult acne
singulair;8;3;4;chronic cough and allergies
lexapro;8;3;3;depression
prozac;1;2;1;depression
mirtazapine;2;0;2;clinical depression
dysport;7;2;3;wrinkles
cialis;5;4;2;ed
cipro;1;4;0;puncture wound
prozac;8;3;2;depression
tarka;9;4;3;hypertension
lo-ovral;9;4;3;acne and contraception
yasmin;8;3;3;birth control, menstrual cramps
hydrochlorothiazide;9;3;3;hypertension
alprazolam;8;3;3;anxiety, panic attck, nervousness
retin-a;8;3;3;skin damage
flonase;8;3;4;allergies
lexapro;6;2;4;peri-menopausal syptoms
remicade;5;3;2;severe ulcerative colitis
prempro;10;4;4;hot flashes
cymbalta;5;3;3;chronic neck/back pain, chronic tension headache
doxycycline;6;2;3;rosacea
avelox;1;0;0;bronchitis
paxil;1;0;0;depression
concerta;8;3;3;adhd
propecia;6;4;2;thinning hair
zoloft;10;4;3;irritability,anxiety
amoxil;1;0;1;persistent chest infection symptoms
finacea;7;2;3;acne rosacea
ortho-evra;7;4;1;birth control
wellbutrin;3;0;2;depression
xenical;7;3;2;weight loss
singulair;2;3;1;allergies
klonopin;9;4;3;anxiety and depression
rhinocort;7;2;3;allergies
valtrex;8;3;3;genital herpes
xyrem;9;2;2;narcolepsy, fibromyalgia
synthroid;6;2;3;thyroid removal
atenolol;1;0;1;atrial fibrillation
claritin;8;4;3;cold
oxybutynin;9;3;3;spastic bladder
zoloft;5;3;3;depression
macrobid;9;4;4;uti
prozac;10;4;2;major depression
relpax;10;4;4;migraine relief
paxil;8;3;3;depression
avita;10;4;3;hyper pigmentation, wrinkles
oxycodone;7;4;2;pain
concerta;2;0;2;adhd
ortho-tri-cyclen;3;0;1;birth control
fioricet;10;4;4;migraines
claripel-cream;8;3;3;pigmentation
tramadol;9;4;3;ankle sprain
imitrex;9;4;3;migraine headaches
remeron;10;4;3;anxiety, depression, panic attacks
strattera;8;3;3;adult add
vyvanse;10;4;3;adult adhd
risperdal;8;3;2;anxiety
crestor;10;4;4;hypercholesterolemia
lipitor;10;4;4;elevated cholesterol
botox;5;4;1;for wrinkle (line) reduction
cymbalta;10;4;4;chronic back pain/depression/anxiety
cipro;1;0;1;skin infection
armour-thyroid;8;3;4;thinning hair
lexapro;1;0;0;depression
tetracycline;7;2;4;rosacea
albuterol;10;4;4;asthma
cialis;9;4;3;erectile disfunction
singulair;10;4;4;asthma
seasonique;1;0;0;have not stop bleeding
wellbutrin-sr;10;4;3;depression
cymbalta;8;3;2;depression
lexapro;8;4;3;depression
tetracycline;6;2;3;acne
trimethoprim;10;4;4;bladder infections
keppra;5;2;2;for epilepsy
zoloft;5;2;2;anxiety/panic attacks
strattera;8;3;3;add
baraclude;10;4;4;hepatitis b
zantac;8;4;4;hives
amitiza;9;3;3;ibs
paxil;7;3;0;depression
wellbutrin-xl;5;2;2;depression
eulexin;10;4;4;acne
provigil;10;4;4;primary hypersomnia
neurontin;9;4;3;chronic daily headache
klaron;8;3;4;acne
prinivil;10;4;4;high blood pressure
retin-a-micro;1;0;1;acne
viagra;10;4;3;ed
keflex;1;4;1;shortness of breath, itching all over
minocycline;5;2;3;acne
proscar;8;4;4;hair loss
klonopin;7;3;2;panic disorder
zoloft;7;3;3;depression
retin-a-micro;9;3;3;photoaging
requip;10;4;3;restless leg sydrome
wellbutrin;8;3;3;depression
motrin;8;2;4;sprained ankle
accupril;9;3;4;hypertension
naproxen;10;4;4;sciatica pain/bulging discs
propecia;9;4;4;hair loss
prozac;9;4;3;depression
remicade;9;3;4;crohn's disease
plavix;7;3;3;after an angiogram
paxil;4;4;1;social anxiety
galzin;7;2;4;mucus in stool
tylenol;9;4;3;headache
seroquel;9;4;3;severe insomnia
ritalin;8;3;4;adhd
lexapro;6;2;3;depression
ultram;8;3;3;fibromyalgia
oracea;10;4;4;rosacea
lexapro;6;1;4;depression
retin-a;9;4;2;acne
cipro;10;4;4;serious food poisoning, uti
celebrex;3;0;3;knee pain
minocycline;10;4;4;acne
lunesta;3;1;2;insomnia
soma;1;1;1;migraines/upper back pain
effexor;8;3;3;depression
lithium-carbonate;8;3;3;bipolar disorder ii
metoclopramide;1;0;1;nausea
fosamax;2;1;4;osteopenia and osteoporosis
spironolactone;10;4;3;acne
wellbutrin-xl;6;2;3;low energy and depression
lexapro;9;3;3;depression
enbrel;8;3;4;psoriasis
klonopin;9;3;3;anxiety
avapro;10;4;4;hypertension
tirosint;4;1;2;mild hypothyroidism
metformin;9;4;3;diabetes
differin;5;1;3;wrinkles around eyes
synthroid;7;2;4;hypothyroid
hyzaar;10;4;3;high blood pressure
lexapro;8;4;3;anxiety and depression
ketorolac;7;3;4;pain, muscle strain
propecia;10;4;4;hair loss
metrogel;1;0;2;rosacea
zofran;10;4;4;nausea
tramadol;1;0;0;shingles pain
augmentin;10;4;4;subungal hematoma
paxil;4;1;2;bipolar disorder
elidel;1;0;1;atopic dernatitis
adderall;8;4;2;add
meridia;10;4;4;over weight
norvasc;5;1;4;raynaud's disease
imitrex;7;2;2;migraine
wellbutrin-xl;10;4;3;depression
innofem;10;3;4;hormone replacement
lamisil;10;4;4;ingrown toenails
retin-a;5;2;4;aging
axert;10;4;4;migraine
prozac;8;3;2;depression with anxiety
propecia;6;2;2;hairloss
ambien-cr;9;3;4;to help sleep
lamictal;7;3;3;epilepsy
vicodin;3;4;1;post hemorrhoidectomy
celebrex;9;4;4;achilles tendonitis
permapen;10;4;0;tooth infection
effexor;8;3;3;anxiety/ depression
seroquel;8;4;3;bipolar i
prinivil;5;2;3;high blood pressure
differin;8;3;3;acne
imitrex;8;3;3;migraines
prilosec;10;4;4;acid reflux
fosamax;1;0;0;possible osteoporosis
cialis;10;4;3;ed
mirtazapine;2;0;3;depression, anxiety, ocd, nausea
propecia;8;3;1;hair regrowth
avage;5;1;2;dark spots
betamethasone;2;0;1;trochanteric bursitis
zyban;2;3;0;to quit smoking
renova;10;4;3;for treating wrinkles
zocor;3;3;2;colestrol
wellbutrin;5;2;4;depression
percocet;8;4;3;menstrual migraines
seroquel;1;0;0;anxiety
ambien;1;0;4;insomnia
flagyl;1;2;0;bacterial infectoin
ultram;10;4;3;arthritis pain
levaquin;1;0;1;sinus infection
aczone;8;3;3;acne
norvasc;1;4;0;high blood pressure
grifulvin-v;5;0;4;tinea barbae
accutane;2;0;3;acne/oily skin
compazine;1;1;0;morning sickness/nausea
nexium;10;4;3;acid reflux
advair-diskus;10;4;3;asthma
valtrex;8;3;3;cold sores
zithromax;10;4;4;sinus infection
seroquel;9;4;2;insomnia, bipolar
cymbalta;7;3;3;depression/anxiety
tazorac;5;2;1;acne
zyprexa;10;4;4;schizoaffective disorder
celexa;10;4;3;stress, feeling overwhelmed
methotrexate;7;4;2;uveitis, inflmmatory arhtiritis in hands
provigil;7;3;3;bipolar disorder with severe lows & fatigue,
levoxyl;9;4;3;hypothyroid
tramadol;9;4;3;2 compressed discs in neck
nuvaring;9;4;3;pregnancy prevention, cycle regulation
claritin;5;1;3;allegry
prilosec;3;1;2;gerd
nexium;9;4;3;gerd with laryngeal spasms
synthroid;10;4;4;fatique, depression
lexapro;10;4;3;depression/anxiety
avita;8;4;2;pigmentatation
soma;9;4;3;back pain
metronidazole;3;2;1;dog bite prophylaxis
prinivil;10;4;4;nocturnal myoclonus (like restless leg syndrome)
singulair;8;3;2;asthmas/ rhinitis
mobic;1;1;0;pain/arthritis
premarin;10;3;3;hormone and for prevention of osteoporosis
metformin;10;4;4;type 2 diabetes
seasonale;4;3;3;birth control
augmentin;2;0;1;cough
botox;10;4;4;wrinkles
adderall;8;3;4;add
retin-a;6;3;2;acne
wellbutrin-xl;7;3;2;major depressive disorder
trazodone;2;4;1;fibromyalgia
neurontin;10;3;3;neural pain
xyrem;9;4;2;fibromyalgia
advair-hfa;3;2;0;asthma
norvasc;9;3;2;hypertension
cymbalta;8;3;3;nerve damage from brachial plexitus
reglan;10;4;4;delayed gastric emptying-nausea
metronidazole;8;3;3;bacterial growth
norvasc;10;4;4;hypertension
wellbutrin-xl;8;3;3;depression
innofem;9;4;4;menopause symptoms
micardis;9;3;4;hypertension
minocycline;7;4;1;rosacea/ acne
advair-diskus;4;1;2;asthma
ativan;5;4;1;unable to sleep because of pain
levaquin;2;0;1;acute sinusitis
propecia;8;3;3;hair loss, receding hairline
naproxen;10;4;4;ac joint dislocation
clobetasol;7;2;4;skin allergy
flexeril;9;4;4;muslce inflammation
retin-a-micro;10;4;2;adult acne
armour-thyroid;8;3;2;thyroid goiter
prozac;2;0;4;depression
nexium;8;3;4;esophogeal strictures
atarax;1;0;0;hives
oxycontin;4;2;2;post-surgical pain
hydrocortisone;10;4;4;eczema
dispermox;1;0;1;abcessed tooth
topamax;8;3;2;nerve pain, fibromyalgia
clindamycin;1;3;0;staphf infection
elavil;4;2;2;insomnia, migraines
minocycline;7;3;4;acne
lexapro;1;0;0;clinical depression
citalopram;7;3;2;depression
metformin;8;4;3;diabetes
zyrtec;10;4;4;allergic rhinitis
prednisone;8;3;3;rash on neck that spread to face
lamictal;8;3;4;bi-polar 2
oxycontin;10;4;3;acute and long term chronic and severe back pain
seasonique;5;2;2;i took seasonique just  to prevent pregnancy
niaspan;9;3;4;reduce cholesterol
ambien;8;3;3;insomnia
requip;10;4;2;rls
avita;8;3;3;acne
paxil;10;4;4;depression/anxiety
lexapro;1;0;0;anxiety depression
effexor-xr;6;2;2;chronic depression
prozac;9;3;3;depression
effexor;6;4;3;depression
vyvanse;4;2;1;sggression, hyperactivity
adipex-p;7;3;3;obesity
amoxil;9;4;3;strep throat
tazorac;9;3;3;acne
lipitor;6;1;2;high cholesterol
biaxin;8;3;2;strep throat
geodon;10;4;3;bi-polar disorder
catapres;8;1;3;high blood pressure
premarin-vaginal;10;4;4;vaginal dryness/bladder inflamation-irritations
